msv,ho_ten,gioi_tinh,lop,sdt,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,so_lan_bt,vi_pham
SV1000,Nguyễn Văn A,Nam,CNTT1,0953711356,P,K,M,M,M,M,M,P,M,M,M,M,M,M,K,2,2
SV1001,Trần Thị B,Nữ,KTPM1,0918232403,M,M,M,M,M,K,P,M,M,P,K,P,M,M,M,0,2
SV1002,Lê Văn C,Nam,CNTT2,0919889125,K,K,K,K,M,M,P,M,M,M,M,M,M,M,M,2,2
SV1003,Phạm Thị D,Nữ,CNTT2,0921272935,M,M,K,M,K,M,K,M,P,M,K,M,M,M,P,4,2
SV1004,Hoàng Văn E,Nam,CNTT2,0984587215,K,K,K,M,M,P,M,M,M,M,M,M,M,M,M,5,0
SV1005,Phan Thị F,Nữ,CNTT1,0994584329,M,M,M,M,M,M,K,K,K,M,M,M,K,K,K,5,2
SV1006,Vũ Văn G,Nam,CNTT2,0985677427,P,M,M,K,K,P,P,P,M,M,K,M,K,M,M,1,0
SV1007,Đặng Thị H,Nữ,CNTT1,0911652838,K,K,K,K,M,M,P,M,M,M,M,M,M,M,M,5,0
SV1008,Bùi Văn I,Nam,CNTT1,0943627494,P,M,M,M,M,M,M,M,M,M,M,K,M,M,M,0,2
SV1009,Đỗ Thị K,Nữ,KTPM1,0967731684,P,K,P,M,M,M,K,M,M,M,P,M,M,M,M,2,0
SV1010,Ngô Văn L,Nam,CNTT1,0971424930,K,M,M,P,M,K,K,M,P,M,M,K,M,M,K,0,2
SV1011,Dương Thị M,Nữ,CNTT2,0920002921,M,M,M,M,P,P,M,P,P,M,K,M,M,K,K,5,1
SV1012,Lý Văn N,Nam,KTPM1,0982889868,M,P,M,M,M,K,M,M,M,M,P,M,K,P,M,0,0
SV1013,Đào Thị O,Nữ,CNTT2,0951246557,M,M,M,M,M,K,M,M,M,K,M,M,K,P,M,0,0
SV1014,Đoàn Văn P,Nam,CNTT1,0995080426,M,K,M,M,P,M,M,M,P,M,M,M,K,K,M,3,1
SV1015,Trương Thị Q,Nữ,CNTT1,0973254499,K,K,K,M,M,P,M,M,M,M,M,M,M,M,M,0,0
SV1016,Lâm Văn R,Nam,KTPM1,0979305836,K,M,M,K,M,M,M,M,M,M,M,M,K,M,K,0,2
SV1017,Mai Thị S,Nữ,KTPM1,0917202730,M,M,K,M,M,M,M,M,M,M,K,K,M,M,M,0,2
SV1018,Phùng Văn T,Nam,KTPM1,0919361672,M,M,M,K,K,M,M,M,M,M,P,M,M,M,K,4,2
SV1019,Đinh Thị U,Nữ,KTPM1,0968451158,M,M,M,M,M,K,M,M,K,K,K,M,M,P,M,1,2
